scene,method,baseline_method,delta_psnr,delta_ssim,delta_lpips,delta_gs_num,delta_train_time_s,baseline_psnr,target_psnr,baseline_ssim,target_ssim,baseline_lpips,target_lpips,baseline_gs_num,target_gs_num,baseline_train_time_s,target_train_time_s,run_dir
bicycle,taming_importance_fastgs_prune_densify100,large_res_fastgs_big_densify100,0.1496601104736328,0.015209734439849854,-0.028065204620361328,530302,38.36621469433669,25.256887435913086,25.40654754638672,0.7552659511566162,0.7704756855964661,0.2449842393398285,0.21691903471946716,1560209,2090511,159.1144253453141,197.48064003965078,output/0021/taming_importance_fastgs_big_full9/mip_g0/bicycle/taming_importance_fastgs_prune_30k_r_auto
flowers,taming_importance_fastgs_prune_densify100,large_res_fastgs_big_densify100,0.045627593994140625,0.00431746244430542,-0.006817489862442017,358365,27.61720125047691,21.628427505493164,21.674055099487305,0.6023306846618652,0.6066481471061707,0.34038856625556946,0.33357107639312744,1122815,1481180,145.68777680291888,173.30497805339579,output/0021/taming_importance_fastgs_big_full9/mip_g0/flowers/taming_importance_fastgs_prune_30k_r_auto
garden,taming_importance_fastgs_prune_densify100,large_res_fastgs_big_densify100,0.029634475708007812,0.002108275890350342,-0.00462670624256134,945636,82.90289552023108,27.634626388549805,27.664260864257812,0.8644312024116516,0.866539478302002,0.10961196571588516,0.10498525947332382,2634816,3580452,273.1258161371727,356.0287116574038,output/0021/taming_importance_fastgs_big_full9/mip_g0/garden/taming_importance_fastgs_prune_30k_r_auto
stump,taming_importance_fastgs_prune_densify100,large_res_fastgs_big_densify100,0.06426239013671875,0.006927430629730225,-0.015818551182746887,412091,31.76675569711216,27.17843246459961,27.242694854736328,0.7868452668190002,0.7937726974487305,0.23933108150959015,0.22351253032684326,1064860,1476951,131.01014023961937,162.77689593673153,output/0021/taming_importance_fastgs_big_full9/mip_g1/stump/taming_importance_fastgs_prune_30k_r_auto
treehill,taming_importance_fastgs_prune_densify100,large_res_fastgs_big_densify100,0.07500267028808594,0.010289669036865234,-0.02551501989364624,328144,30.050027724606636,22.827545166015625,22.90254783630371,0.6323210000991821,0.6426106691360474,0.37695300579071045,0.3514379858970642,1009110,1337254,127.40193423256382,157.45196195717045,output/0021/taming_importance_fastgs_big_full9/mip_g1/treehill/taming_importance_fastgs_prune_30k_r_auto
room,taming_importance_fastgs_prune_densify100,large_res_fastgs_big_densify100,-0.009616851806640625,0.003109753131866455,-0.009926572442054749,249686,25.919762919818893,32.21363830566406,32.20402145385742,0.9304467439651489,0.9335564970970154,0.18815293908119202,0.17822636663913727,571607,821293,113.52269600543862,139.4424589252575,output/0021/taming_importance_fastgs_big_full9/mip_g0/room/taming_importance_fastgs_prune_30k_r_auto
counter,taming_importance_fastgs_prune_densify100,large_res_fastgs_big_densify100,0.08615303039550781,0.0026467442512512207,-0.0074956417083740234,166806,21.36633510180792,29.52594566345215,29.612098693847656,0.9180456399917603,0.9206923842430115,0.1765718013048172,0.16907615959644318,470577,637383,122.00094273921127,143.3672778410192,output/0021/taming_importance_fastgs_big_full9/mip_g1/counter/taming_importance_fastgs_prune_30k_r_auto
kitchen,taming_importance_fastgs_prune_densify100,large_res_fastgs_big_densify100,0.00052642822265625,0.000564277172088623,-0.0025562122464179993,256415,45.21870086262055,32.28098678588867,32.28151321411133,0.9389544725418091,0.9395187497138977,0.10510837286710739,0.10255216062068939,1177988,1434403,219.85048842581597,265.0691892884365,output/0021/taming_importance_fastgs_big_full9/mip_g1/kitchen/taming_importance_fastgs_prune_30k_r_auto
bonsai,taming_importance_fastgs_prune_densify100,large_res_fastgs_big_densify100,-0.034320831298828125,0.0013607144355773926,-0.005491673946380615,593708,53.30728999018859,33.084632873535156,33.05031204223633,0.9537696838378906,0.955130398273468,0.15980775654315948,0.15431608259677887,844093,1437801,145.58950173291805,198.89679172310665,output/0021/taming_importance_fastgs_big_full9/mip_g1/bonsai/taming_importance_fastgs_prune_30k_r_auto
