policy,avg_delta_psnr,avg_delta_ssim,avg_delta_lpips,avg_delta_gs_num,avg_qcgi
phase0,0.0,0.0,0.0,0.0,0.0
depth_auto_topk,0.013289981418185763,-0.0001306401358710395,0.0004935165246327718,306.8888888888889,0.006509040522045561
residual_orientation,0.0071570078531901045,-9.919537438286675e-05,0.0001905767454041375,-1650.6666666666667,0.0032311055274009703
dino_i050_full,-0.0027101304796006945,0.0010612673229641384,-0.003223113715648651,53628.444444444445,-0.10145977099763022
dino_i050_until8000,0.015630722045898438,0.0009492569499545627,-0.0017697496546639337,33372.22222222222,-0.017122168459468415
dino_i050_until4000,-0.0038348303900824655,4.8995018005371094e-05,-0.0008001493083106147,11992.0,-0.014816294599533085
oracle_best_qcgi_per_scene,0.0489150153266059,0.0011057456334431965,-0.001606638232866923,12306.111111111111,0.06460989693758223
