scene,i2000_psnr,i2000_ssim,i2000_lpips,i2000_gs_num,i4000_psnr,i4000_ssim,i4000_lpips,i4000_gs_num,i8000_psnr,i8000_ssim,i8000_lpips,i8000_gs_num,i16000_psnr,i16000_ssim,i16000_lpips,i16000_gs_num,i20000_psnr,i20000_ssim,i20000_lpips,i20000_gs_num,i30000_psnr,i30000_ssim,i30000_lpips,i30000_gs_num,i2000_to_i4000_psnr_gain,i2000_to_i4000_ssim_gain,i2000_to_i4000_lpips_gain,i2000_to_i4000_gs_num_gain,i2000_to_i4000_gs_ratio,i4000_to_i8000_psnr_gain,i4000_to_i8000_ssim_gain,i4000_to_i8000_lpips_gain,i4000_to_i8000_gs_num_gain,i4000_to_i8000_gs_ratio,i8000_to_i16000_psnr_gain,i8000_to_i16000_ssim_gain,i8000_to_i16000_lpips_gain,i8000_to_i16000_gs_num_gain,i8000_to_i16000_gs_ratio,i16000_to_i20000_psnr_gain,i16000_to_i20000_ssim_gain,i16000_to_i20000_lpips_gain,i16000_to_i20000_gs_num_gain,i16000_to_i20000_gs_ratio,i20000_to_i30000_psnr_gain,i20000_to_i30000_ssim_gain,i20000_to_i30000_lpips_gain,i20000_to_i30000_gs_num_gain,i20000_to_i30000_gs_ratio,i30000_gs_per_psnr,i8000_to_i30000_psnr_gain,i8000_to_i30000_gs_gain,i8000_to_i30000_lpips_gain
bicycle,20.949462890625,0.4914626181125641,0.5104079246520996,512054.0,21.726621627807617,0.5570399761199951,0.44096317887306213,1131672.0,23.403352737426758,0.6640281081199646,0.33529648184776306,1588418.0,25.087953567504883,0.7484794855117798,0.2568955719470978,1779136.0,25.197803497314453,0.7530664205551147,0.2490781843662262,1582742.0,25.2646484375,0.7555621266365051,0.2447267472743988,1558080.0,0.7771587371826172,0.06557735800743103,-0.06944474577903748,619618.0,2.2100637823354568,1.6767311096191406,0.10698813199996948,-0.10566669702529907,456746.0,1.403602810708403,1.684600830078125,0.08445137739181519,-0.07840090990066528,190718.0,1.1200678914492281,0.10984992980957031,0.004586935043334961,-0.007817387580871582,-196394.0,0.8896127108888809,0.06684494018554688,0.002495706081390381,-0.004351437091827393,-24662.0,0.9844181806005021,61670.36140852692,1.8612957000732422,-30338.0,-0.09056973457336426
flowers,19.203826904296875,0.4177190661430359,0.5332896709442139,414207.0,20.002161026000977,0.4757254421710968,0.4719321131706238,835264.0,20.943754196166992,0.5444743633270264,0.4088600277900696,1194561.0,21.573091506958008,0.5934054255485535,0.3538669943809509,1305899.0,21.59330940246582,0.5984413623809814,0.3460140526294708,1150090.0,21.6213436126709,0.6022083759307861,0.3407337963581085,1134832.0,0.7983341217041016,0.05800637602806091,-0.06135755777359009,421057.0,2.016537624907353,0.9415931701660156,0.06874892115592957,-0.0630720853805542,359297.0,1.4301598057620106,0.6293373107910156,0.0489310622215271,-0.05499303340911865,111338.0,1.0932041143147986,0.0202178955078125,0.0050359368324279785,-0.007852941751480103,-155809.0,0.8806883227569666,0.028034210205078125,0.0037670135498046875,-0.005280256271362305,-15258.0,0.9867332121833944,52486.654868892925,0.6775894165039062,-59729.0,-0.06812623143196106
garden,23.656667709350586,0.7009817957878113,0.28639358282089233,1985301.0,25.45143699645996,0.7882973551750183,0.20236234366893768,2878334.0,26.79105567932129,0.8420450091362,0.1403801292181015,3025223.0,27.456945419311523,0.862163245677948,0.11431802064180374,2982861.0,27.535085678100586,0.8639121055603027,0.1113722026348114,2670415.0,27.6122989654541,0.8643426895141602,0.10985249280929565,2631613.0,1.794769287109375,0.08731555938720703,-0.08403123915195465,893033.0,1.4498224702450662,1.3396186828613281,0.05374765396118164,-0.06198221445083618,146889.0,1.051032645968119,0.6658897399902344,0.020118236541748047,-0.02606210857629776,-42362.0,0.9859970653403072,0.0781402587890625,0.0017488598823547363,-0.00294581800699234,-312446.0,0.8952529132265968,0.07721328735351562,0.0004305839538574219,-0.001519709825515747,-38802.0,0.9854696741892178,95305.82742467136,0.8212432861328125,-393610.0,-0.030527636408805847
stump,23.793941497802734,0.606762707233429,0.44990429282188416,345741.0,25.159658432006836,0.6888731718063354,0.35855406522750854,797719.0,26.402524948120117,0.7540737390518188,0.28500479459762573,1123773.0,27.128692626953125,0.7843002676963806,0.24637483060359955,1209195.0,27.147737503051758,0.7862412929534912,0.24204689264297485,1072577.0,27.138233184814453,0.786316454410553,0.23979847133159637,1052292.0,1.3657169342041016,0.0821104645729065,-0.09135022759437561,451978.0,2.307273363587194,1.2428665161132812,0.0652005672454834,-0.07354927062988281,326054.0,1.4087328996802133,0.7261676788330078,0.030226528644561768,-0.038629963994026184,85422.0,1.0760135721360096,0.019044876098632812,0.0019410252571105957,-0.004327937960624695,-136618.0,0.8870173958708066,-0.009504318237304688,7.516145706176758e-05,-0.002248421311378479,-20285.0,0.9810876048992286,38775.25824300248,0.7357082366943359,-71481.0,-0.04520632326602936
treehill,21.37653350830078,0.5131199359893799,0.5391137599945068,270416.0,22.00150489807129,0.5483906269073486,0.4989994764328003,605919.0,22.485877990722656,0.5938215851783752,0.444087952375412,1021335.0,22.82332992553711,0.6273870468139648,0.39115267992019653,1236499.0,22.84661293029785,0.6304154396057129,0.3829152584075928,1031107.0,22.862586975097656,0.6322696208953857,0.37688446044921875,1008508.0,0.6249713897705078,0.03527069091796875,-0.04011428356170654,335503.0,2.240692118809538,0.4843730926513672,0.04543095827102661,-0.054911524057388306,415416.0,1.6855965896431702,0.3374519348144531,0.0335654616355896,-0.052935272455215454,215164.0,1.2106693690121262,0.023283004760742188,0.003028392791748047,-0.00823742151260376,-205392.0,0.8338923039970109,0.015974044799804688,0.0018541812896728516,-0.0060307979583740234,-22599.0,0.9780827789938387,44111.71846381537,0.376708984375,-12827.0,-0.06720349192619324
room,27.481367111206055,0.8624138236045837,0.3053241968154907,478475.0,28.807748794555664,0.887862503528595,0.2649369239807129,642181.0,30.3510684967041,0.9117048382759094,0.22251439094543457,694970.0,31.59132957458496,0.9268226623535156,0.1948416531085968,692728.0,32.06587219238281,0.9293664693832397,0.19046831130981445,586236.0,32.30070877075195,0.9307028651237488,0.18808552622795105,570190.0,1.3263816833496094,0.02544867992401123,-0.04038727283477783,163706.0,1.3421411776999843,1.5433197021484375,0.023842334747314453,-0.04242253303527832,52789.0,1.0822026811755565,1.2402610778808594,0.015117824077606201,-0.02767273783683777,-2242.0,0.9967739614659625,0.47454261779785156,0.002543807029724121,-0.004373341798782349,-106492.0,0.8462715524708111,0.23483657836914062,0.0013363957405090332,-0.0023827850818634033,-16046.0,0.9726287706657387,17652.553820004803,1.9496402740478516,-124780.0,-0.03442886471748352
counter,24.44442367553711,0.8057506680488586,0.33123648166656494,491209.0,26.15955924987793,0.8470577597618103,0.27635908126831055,639844.0,27.868444442749023,0.8913715481758118,0.21564286947250366,621303.0,29.105192184448242,0.9141467809677124,0.1836376190185547,554904.0,29.30638885498047,0.9162898659706116,0.17960897088050842,480032.0,29.541147232055664,0.9179397821426392,0.1765260547399521,471258.0,1.7151355743408203,0.04130709171295166,-0.054877400398254395,148635.0,1.302590139838643,1.7088851928710938,0.044313788414001465,-0.060716211795806885,-18541.0,0.9710226242646645,1.2367477416992188,0.022775232791900635,-0.032005250453948975,-66399.0,0.8931294392591055,0.20119667053222656,0.00214308500289917,-0.004028648138046265,-74872.0,0.8650721566252901,0.2347583770751953,0.0016499161720275879,-0.0030829161405563354,-8774.0,0.9817220518632092,15952.596434326319,1.6727027893066406,-150045.0,-0.039116814732551575
kitchen,25.352933883666992,0.7936177849769592,0.2741236984729767,1412850.0,27.168357849121094,0.8405755162239075,0.2159218043088913,2135089.0,30.201269149780273,0.9152763485908508,0.1377900242805481,1904030.0,31.855560302734375,0.9360237121582031,0.10928171873092651,1502767.0,32.16166687011719,0.9379809498786926,0.10660343617200851,1213976.0,32.41827392578125,0.939361572265625,0.10430935770273209,1179861.0,1.8154239654541016,0.04695773124694824,-0.05820189416408539,722239.0,1.511192978730934,3.0329113006591797,0.07470083236694336,-0.0781317800283432,-231059.0,0.8917801553003177,1.6542911529541016,0.020747363567352295,-0.028508305549621582,-401263.0,0.7892559465974801,0.3061065673828125,0.001957237720489502,-0.0026782825589179993,-288791.0,0.8078271614960936,0.2566070556640625,0.001380622386932373,-0.0022940784692764282,-34115.0,0.9718981264868498,36394.93585319153,2.2170047760009766,-724169.0,-0.03348066657781601
bonsai,26.907474517822266,0.8823676109313965,0.26033931970596313,879201.0,28.70172882080078,0.9138779640197754,0.21791014075279236,1171307.0,30.651275634765625,0.9379570484161377,0.18348029255867004,1136591.0,32.1146354675293,0.9493491649627686,0.16505679488182068,1076589.0,32.493953704833984,0.9518237709999084,0.16233889758586884,881026.0,32.96159362792969,0.9531466364860535,0.1601305454969406,844773.0,1.7942543029785156,0.031510353088378906,-0.042429178953170776,292106.0,1.3322402954500734,1.9495468139648438,0.024079084396362305,-0.034429848194122314,-34716.0,0.9703613143266454,1.4633598327636719,0.01139211654663086,-0.018423497676849365,-60002.0,0.9472088024628033,0.3793182373046875,0.0024746060371398926,-0.0027178972959518433,-195563.0,0.81834943511405,0.4676399230957031,0.0013228654861450195,-0.0022083520889282227,-36253.0,0.9588513846356407,25629.009614516628,2.3103179931640625,-291818.0,-0.02334974706172943
